age,average_claim
18,7086.22
19,9747.91
20,10159.70
21,4730.46
22,10012.93
23,12419.82
24,10648.02
25,9838.37
26,6133.83
27,12184.70
28,9069.19
29,10430.16
30,12719.11
31,10196.98
32,9220.30
33,12351.53
34,11613.53
35,11307.18
36,12204.48
37,18019.91
38,8102.73
39,11778.24
40,11772.25
41,9653.75
42,13061.04
43,19267.28
44,15859.40
45,14830.20
46,14342.59
47,17654.00
48,14632.50
49,12696.01
50,15663.00
51,15682.26
52,18256.27
53,16020.93
54,18758.55
55,16164.55
56,15025.52
57,16447.19
58,13878.93
59,18895.87
60,21979.42
61,22024.46
62,19163.86
63,19885.00
64,23275.53
